recordKey,detailId,mediaId,mediaType,inventoryNumber,yearRaw,field,hitType,category,matchedTerm,matchedTermNormalized,canonicalName,matchSource,stmGazetteerId,ambiguityCount,title,snippet,lowHangingSpecific,reviewBucket
0043503b-40ca-56bc-01ae-509818ac5747::470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,0043503b-40ca-56bc-01ae-509818ac5747,470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,video,SR-NA_02_0052,Onbekend,description,person,person,Jagernath Lachmon,jagernath lachmon,Jagernath Lachmon,heuristic-capitalized-sequence,,2,Persconferentie van Henk Arron,"journalisten over functioneren van de regering en ministers Jagernath Lachmon, Fred Derby, President, Frontleiders, taakomschrijving, ministeries, ordening, toerisme, vredesvraagstuk, VHP, bezorgdh",false,needs-review
0043503b-40ca-56bc-01ae-509818ac5747::470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,0043503b-40ca-56bc-01ae-509818ac5747,470124a3-a9e8-c8fb-eb59-d6e0ee86de1a,video,SR-NA_02_0052,Onbekend,description,person,person,Fred Derby,fred derby,Fred Derby,heuristic-capitalized-sequence,,2,Persconferentie van Henk Arron,"unctioneren van de regering en ministers Jagernath Lachmon, Fred Derby, President, Frontleiders, taakomschrijving, ministeries, ordening, toerisme, vredesvraagstuk, VHP, bezorgdheid, Nita Ra",false,needs-review
004aae29-a924-c1b6-18a5-e40a4a8fbc94::cb5e0263-d9f0-c8cb-7d94-dafee0b10f00,004aae29-a924-c1b6-18a5-e40a4a8fbc94,cb5e0263-d9f0-c8cb-7d94-dafee0b10f00,audio,SR-NA_00_0082,31 maart 1990,description,place,river,Marowijne,marowijne,Marowijne,stm-gazetteer,stm-00363,1,Toespraak president Ramsewak Shankar ivm vertrek OAS vergadering,week ernstige complicaties voorgedaan in het Brokopondo en Marowijne gebied. Deze complicaties waren bij een aantal ongrondwettelijke gewapende groepen zijn opgetreden hebben geleid tot er,true,high-precision
004aae29-a924-c1b6-18a5-e40a4a8fbc94::cb5e0263-d9f0-c8cb-7d94-dafee0b10f00,004aae29-a924-c1b6-18a5-e40a4a8fbc94,cb5e0263-d9f0-c8cb-7d94-dafee0b10f00,audio,SR-NA_00_0082,31 maart 1990,description,person,person,Ramsewak Shankar,ramsewak shankar,Ramsewak Shankar,heuristic-capitalized-sequence,,2,Toespraak president Ramsewak Shankar ivm vertrek OAS vergadering,"Toespraak president Ramsewak Shankar ivm vertrek OAS vergadering President Ramsewak Shankar: ""Volk van Suriname. Zoals het u bekend is uit verschillende per",false,needs-review
004aae29-a924-c1b6-18a5-e40a4a8fbc94::cb5e0263-d9f0-c8cb-7d94-dafee0b10f00,004aae29-a924-c1b6-18a5-e40a4a8fbc94,cb5e0263-d9f0-c8cb-7d94-dafee0b10f00,audio,SR-NA_00_0082,31 maart 1990,description,person,person,President Ramsewak Shankar,president ramsewak shankar,President Ramsewak Shankar,heuristic-capitalized-sequence,,2,Toespraak president Ramsewak Shankar ivm vertrek OAS vergadering,"Toespraak president Ramsewak Shankar ivm vertrek OAS vergadering President Ramsewak Shankar: ""Volk van Suriname. Zoals het u bekend is uit verschillende per",false,needs-review
004aae29-a924-c1b6-18a5-e40a4a8fbc94::cb5e0263-d9f0-c8cb-7d94-dafee0b10f00,004aae29-a924-c1b6-18a5-e40a4a8fbc94,cb5e0263-d9f0-c8cb-7d94-dafee0b10f00,audio,SR-NA_00_0082,31 maart 1990,description,person,person,Nationaal Leger,nationaal leger,Nationaal Leger,heuristic-capitalized-sequence,,2,Toespraak president Ramsewak Shankar ivm vertrek OAS vergadering,veiligheid van grote delen van ons land. Naast zijdens het Nationaal Leger over de situatie op woensdag 30 mei 1990 ge‹nformeerd te zijn hebben wij het Nationaal Leger opdrachten en richtlijnen,false,needs-review
00795a09-c008-fca0-11a9-20c1ba8eb413::3bc47e3a-dd01-46c6-9c24-573ad3258dae,00795a09-c008-fca0-11a9-20c1ba8eb413,3bc47e3a-dd01-46c6-9c24-573ad3258dae,video,SR-NA_02_0187,Onbekend,description,person,person,Johan Pengel,johan pengel,Johan Pengel,heuristic-capitalized-sequence,,2,Johan Pengel bij installatie van Commissie Nationale Bloem en Boom,"Johan Pengel bij installatie van Commissie Nationale Bloem en Boom In verband met de installatie van een Commissie Nationale Bloem,",false,needs-review
00795a09-c008-fca0-11a9-20c1ba8eb413::3bc47e3a-dd01-46c6-9c24-573ad3258dae,00795a09-c008-fca0-11a9-20c1ba8eb413,3bc47e3a-dd01-46c6-9c24-573ad3258dae,video,SR-NA_02_0187,Onbekend,description,person,person,Commissie Nationale Bloem,commissie nationale bloem,Commissie Nationale Bloem,heuristic-capitalized-sequence,,2,Johan Pengel bij installatie van Commissie Nationale Bloem en Boom,"Johan Pengel bij installatie van Commissie Nationale Bloem en Boom In verband met de installatie van een Commissie Nationale Bloem, heeft minister president J.A Pengel een toespr",false,needs-review
00795a09-c008-fca0-11a9-20c1ba8eb413::3bc47e3a-dd01-46c6-9c24-573ad3258dae,00795a09-c008-fca0-11a9-20c1ba8eb413,3bc47e3a-dd01-46c6-9c24-573ad3258dae,video,SR-NA_02_0187,Onbekend,description,person,person,Nationale Bloem,nationale bloem,Nationale Bloem,heuristic-capitalized-sequence,,2,Johan Pengel bij installatie van Commissie Nationale Bloem en Boom,"Johan Pengel bij installatie van Commissie Nationale Bloem en Boom In verband met de installatie van een Commissie Nationale Bloem, heeft minister president J.A Pengel een toespr",false,needs-review
00795a09-c008-fca0-11a9-20c1ba8eb413::3bc47e3a-dd01-46c6-9c24-573ad3258dae,00795a09-c008-fca0-11a9-20c1ba8eb413,3bc47e3a-dd01-46c6-9c24-573ad3258dae,video,SR-NA_02_0187,Onbekend,description,person,person,Nationale Boom,nationale boom,Nationale Boom,heuristic-capitalized-sequence,,2,Johan Pengel bij installatie van Commissie Nationale Bloem en Boom,"an de RvM inzake de vaststelling van een Nationale Bloem en Nationale Boom Commissie Nationale Bloem, Pengel, Nationale Boom, dokter-ingenieur Agin, H. Tindalie, Ormsgier, Veira, Kolf, Guda, Azi",false,needs-review
00795a09-c008-fca0-11a9-20c1ba8eb413::3bc47e3a-dd01-46c6-9c24-573ad3258dae,00795a09-c008-fca0-11a9-20c1ba8eb413,3bc47e3a-dd01-46c6-9c24-573ad3258dae,video,SR-NA_02_0187,Onbekend,description,person,person,Steward Robert,steward robert,Steward Robert,heuristic-capitalized-sequence,,2,Johan Pengel bij installatie van Commissie Nationale Bloem en Boom,"Agin, H. Tindalie, Ormsgier, Veira, Kolf, Guda, Azimullah, Steward Robert, tekenaar en beeldhouwer, H. S. Agin, H. Tindalie, S. Robles De Medina, A. M. Veira, R. W. Ormsgier, R. T. Wongsodikro",false,needs-review
00a51b89-7b29-aa5c-6533-6e1ae11e1d05::ef44d023-089e-1bfa-94f0-14c3a5a7bb1a,00a51b89-7b29-aa5c-6533-6e1ae11e1d05,ef44d023-089e-1bfa-94f0-14c3a5a7bb1a,image,SR-NA_01_0172,27-04-1970,description,person,person,Vertrek Minister Just Rens,vertrek minister just rens,Vertrek Minister Just Rens,heuristic-capitalized-sequence,,2,Vertrek Minister Just Rens naar het buitenland,"Vertrek Minister Just Rens naar het buitenland Vertrek Minister Just Rens naar het buitenland Ministerie van Economische Zaken, Ministers, Ministe",false,needs-review
00a51b89-7b29-aa5c-6533-6e1ae11e1d05::ef44d023-089e-1bfa-94f0-14c3a5a7bb1a,00a51b89-7b29-aa5c-6533-6e1ae11e1d05,ef44d023-089e-1bfa-94f0-14c3a5a7bb1a,image,SR-NA_01_0172,27-04-1970,description,person,person,Economische Zaken,economische zaken,Economische Zaken,heuristic-capitalized-sequence,,2,Vertrek Minister Just Rens naar het buitenland,"rtrek Minister Just Rens naar het buitenland Ministerie van Economische Zaken, Ministers, Minister Just Rens, Buitenlandse reizen",false,needs-review
00a51b89-7b29-aa5c-6533-6e1ae11e1d05::ef44d023-089e-1bfa-94f0-14c3a5a7bb1a,00a51b89-7b29-aa5c-6533-6e1ae11e1d05,ef44d023-089e-1bfa-94f0-14c3a5a7bb1a,image,SR-NA_01_0172,27-04-1970,description,person,person,Minister Just Rens,minister just rens,Minister Just Rens,heuristic-capitalized-sequence,,2,Vertrek Minister Just Rens naar het buitenland,"Vertrek Minister Just Rens naar het buitenland Vertrek Minister Just Rens naar het buitenland Ministerie van Economische Zaken, Ministers, Ministe",false,needs-review
00b1f295-7f80-f141-c491-658bd365bbf0::8cfa609c-175d-5116-9b2d-644cdbda8748,00b1f295-7f80-f141-c491-658bd365bbf0,8cfa609c-175d-5116-9b2d-644cdbda8748,video,SR-NA_02_0894,Onbekend,description,person,person,Surinaamse Luchtvaartmaatschappij,surinaamse luchtvaartmaatschappij,Surinaamse Luchtvaartmaatschappij,heuristic-capitalized-sequence,,2,SLM huurt Boeing 747,SLM huurt Boeing 747 De Surinaamse Luchtvaartmaatschappij heeft een boeiing 747 gehuurd bij de KLM. Fred Derby meent dat het huren verdere mogelijkheden indiceert. De nieuwe ove,false,needs-review
00b1f295-7f80-f141-c491-658bd365bbf0::8cfa609c-175d-5116-9b2d-644cdbda8748,00b1f295-7f80-f141-c491-658bd365bbf0,8cfa609c-175d-5116-9b2d-644cdbda8748,video,SR-NA_02_0894,Onbekend,description,person,person,Fred Derby,fred derby,Fred Derby,heuristic-capitalized-sequence,,2,SLM huurt Boeing 747,vaartmaatschappij heeft een boeiing 747 gehuurd bij de KLM. Fred Derby meent dat het huren verdere mogelijkheden indiceert. De nieuwe overeenkomst breekt naar zijn zeggen een nieuwe horizon,false,needs-review
011a9a79-9f7e-31f6-f89b-5c67c302899d::f776e074-064c-0df9-d319-fc61084f2dea,011a9a79-9f7e-31f6-f89b-5c67c302899d,f776e074-064c-0df9-d319-fc61084f2dea,image,SR-NA_01_0155,sep-70,description,person,person,Economische Zaken,economische zaken,Economische Zaken,heuristic-capitalized-sequence,,2,Jubileum mevrouw bij D.C,"rouw bij D.C (distrikt commissaris) Suriname Ministerie van Economische Zaken, Ministers, Jubileum, distrikt Commissaris Suriname,",false,needs-review
011a9a79-9f7e-31f6-f89b-5c67c302899d::f776e074-064c-0df9-d319-fc61084f2dea,011a9a79-9f7e-31f6-f89b-5c67c302899d,f776e074-064c-0df9-d319-fc61084f2dea,image,SR-NA_01_0155,sep-70,description,person,person,Commissaris Suriname,commissaris suriname,Commissaris Suriname,heuristic-capitalized-sequence,,2,Jubileum mevrouw bij D.C,"sterie van Economische Zaken, Ministers, Jubileum, distrikt Commissaris Suriname,",false,needs-review
013bb184-2309-5fd7-301a-795f09b58190::104b2563-1b52-d4db-f44f-474ec1e7ee80,013bb184-2309-5fd7-301a-795f09b58190,104b2563-1b52-d4db-f44f-474ec1e7ee80,video,SR-NA_02_1360,Onbekend,personsRaw,person,person,Celsius Waterberg,celsius waterberg,Celsius Waterberg,nas-persons-field,,1,Celsius Waterberg op een bijeenkomst van de Samenwerkende Partijen,Celsius Waterberg,true,high-precision
013bb184-2309-5fd7-301a-795f09b58190::104b2563-1b52-d4db-f44f-474ec1e7ee80,013bb184-2309-5fd7-301a-795f09b58190,104b2563-1b52-d4db-f44f-474ec1e7ee80,video,SR-NA_02_1360,Onbekend,description,person,person,Samenwerkende Partijen,samenwerkende partijen,Samenwerkende Partijen,heuristic-capitalized-sequence,,2,Celsius Waterberg op een bijeenkomst van de Samenwerkende Partijen,Celsius Waterberg op een bijeenkomst van de Samenwerkende Partijen Celsius Waterberg spreek in het kader van de Samenwerkende Partijen op een bijeenkomst,false,needs-review
017b244b-bfd3-4fb1-24c8-86f7e7814f8b::074ca9c2-0ee5-caf7-86e4-316d06bbd47e,017b244b-bfd3-4fb1-24c8-86f7e7814f8b,074ca9c2-0ee5-caf7-86e4-316d06bbd47e,video,SR-NA_02_1029,Onbekend,description,person,person,Iedul Fitre Vhs,iedul fitre vhs,Iedul Fitre Vhs,heuristic-capitalized-sequence,,2,led gebed onafhankelijkheidsplein ivm Iedul Fitre Vhs 0101,led gebed onafhankelijkheidsplein ivm Iedul Fitre Vhs 0101 Het Iedul Fitre feest wordt over de gehele wereld gevierd. Dit feest volgt na de heilige maand Ramadan oftewel de,false,needs-review
017b244b-bfd3-4fb1-24c8-86f7e7814f8b::074ca9c2-0ee5-caf7-86e4-316d06bbd47e,017b244b-bfd3-4fb1-24c8-86f7e7814f8b,074ca9c2-0ee5-caf7-86e4-316d06bbd47e,video,SR-NA_02_1029,Onbekend,description,person,person,Het Iedul Fitre,het iedul fitre,Het Iedul Fitre,heuristic-capitalized-sequence,,2,led gebed onafhankelijkheidsplein ivm Iedul Fitre Vhs 0101,led gebed onafhankelijkheidsplein ivm Iedul Fitre Vhs 0101 Het Iedul Fitre feest wordt over de gehele wereld gevierd. Dit feest volgt na de heilige maand Ramadan oftewel de maand van vasten. In,false,needs-review
01a2cf86-3aea-dbba-5469-5f33c893ef13::aebe8007-5ded-df0d-0fc8-cd4db527c78d,01a2cf86-3aea-dbba-5469-5f33c893ef13,aebe8007-5ded-df0d-0fc8-cd4db527c78d,video,SR-NA_02_0986_002,Onbekend,description,person,person,Albert Vrede,albert vrede,Albert Vrede,heuristic-capitalized-sequence,,2,Programma AZP-deel 2,"wastafel, wateroverlast, patiëntenzaal, wasserij, professor Albert Vrede, Mortuarium-assistent J. Antonius",false,needs-review
01e920f3-90ca-0000-1a01-3b43cbed2abe::21fd7c2f-613f-7865-8f97-92c39ca38b25,01e920f3-90ca-0000-1a01-3b43cbed2abe,21fd7c2f-613f-7865-8f97-92c39ca38b25,video,SR-NA_02_0120,Onbekend,title,place,street,Wanica,wanica,Wanica,paramaribo-street-standardization,,1,Kerkdiensten in Gemeente Wanica,Kerkdiensten in Gemeente Wanica,true,high-precision
01e920f3-90ca-0000-1a01-3b43cbed2abe::21fd7c2f-613f-7865-8f97-92c39ca38b25,01e920f3-90ca-0000-1a01-3b43cbed2abe,21fd7c2f-613f-7865-8f97-92c39ca38b25,video,SR-NA_02_0120,Onbekend,description,place,street,Wanica,wanica,Wanica,paramaribo-street-standardization,,1,Kerkdiensten in Gemeente Wanica,"diverse gemeenten, Grote Stadskerk, Lutherse Kerk, Gemeente Wanica, Rosakerk",true,high-precision
01e920f3-90ca-0000-1a01-3b43cbed2abe::21fd7c2f-613f-7865-8f97-92c39ca38b25,01e920f3-90ca-0000-1a01-3b43cbed2abe,21fd7c2f-613f-7865-8f97-92c39ca38b25,video,SR-NA_02_0120,Onbekend,keywords,place,street,Wanica,wanica,Wanica,paramaribo-street-standardization,,1,Kerkdiensten in Gemeente Wanica,Kerkdiensten | Grote Stadskerk | Lutherse Kerk | Gemeente Wanica | Rosakerk,true,high-precision
01e920f3-90ca-0000-1a01-3b43cbed2abe::21fd7c2f-613f-7865-8f97-92c39ca38b25,01e920f3-90ca-0000-1a01-3b43cbed2abe,21fd7c2f-613f-7865-8f97-92c39ca38b25,video,SR-NA_02_0120,Onbekend,description,person,person,Gemeente Wanica,gemeente wanica,Gemeente Wanica,heuristic-capitalized-sequence,,2,Kerkdiensten in Gemeente Wanica,"Kerkdiensten in Gemeente Wanica Beelden van kerkdiensten in diverse gemeenten, Grote Stadskerk, Lutherse Kerk, Gemeente Wanica, Rosakerk Kerkdiensten,",false,needs-review
01e920f3-90ca-0000-1a01-3b43cbed2abe::21fd7c2f-613f-7865-8f97-92c39ca38b25,01e920f3-90ca-0000-1a01-3b43cbed2abe,21fd7c2f-613f-7865-8f97-92c39ca38b25,video,SR-NA_02_0120,Onbekend,description,person,person,Grote Stadskerk,grote stadskerk,Grote Stadskerk,heuristic-capitalized-sequence,,2,Kerkdiensten in Gemeente Wanica,"eente Wanica Beelden van kerkdiensten in diverse gemeenten, Grote Stadskerk, Lutherse Kerk, Gemeente Wanica, Rosakerk Kerkdiensten, Grote Stadskerk, Lutherse Kerk, Gemeente Wanica, Rosakerk",false,needs-review
01e920f3-90ca-0000-1a01-3b43cbed2abe::21fd7c2f-613f-7865-8f97-92c39ca38b25,01e920f3-90ca-0000-1a01-3b43cbed2abe,21fd7c2f-613f-7865-8f97-92c39ca38b25,video,SR-NA_02_0120,Onbekend,description,person,person,Lutherse Kerk,lutherse kerk,Lutherse Kerk,heuristic-capitalized-sequence,,2,Kerkdiensten in Gemeente Wanica,"den van kerkdiensten in diverse gemeenten, Grote Stadskerk, Lutherse Kerk, Gemeente Wanica, Rosakerk Kerkdiensten, Grote Stadskerk, Lutherse Kerk, Gemeente Wanica, Rosakerk",false,needs-review
021bffb7-90fe-1643-f611-93c10557a95a::fa4a2b13-0665-d00b-cf26-70fa97bf16b4,021bffb7-90fe-1643-f611-93c10557a95a,fa4a2b13-0665-d00b-cf26-70fa97bf16b4,video,SR-NA_02_0930,Onbekend,description,place,plantation,Combe,combe,Combe,stm-gazetteer,stm-00547,1,Programma over subsidie artikelen,George Radjkoemar praat met ondernemers over economische maatregelen van de regering Venetiaan-Ajodhia: Directeur Kries Kalipdewsingh van Combé markt en Melkcentrale-directeur Henk,true,high-precision
021bffb7-90fe-1643-f611-93c10557a95a::fa4a2b13-0665-d00b-cf26-70fa97bf16b4,021bffb7-90fe-1643-f611-93c10557a95a,fa4a2b13-0665-d00b-cf26-70fa97bf16b4,video,SR-NA_02_0930,Onbekend,description,person,person,George Radjkoemar,george radjkoemar,George Radjkoemar,heuristic-capitalized-sequence,,2,Programma over subsidie artikelen,Programma over subsidie artikelen George Radjkoemar praat met ondernemers over economische maatregelen van de regering Venetiaan-Ajodhia: Directeur Kries Kalipdewsingh van,false,needs-review
021bffb7-90fe-1643-f611-93c10557a95a::fa4a2b13-0665-d00b-cf26-70fa97bf16b4,021bffb7-90fe-1643-f611-93c10557a95a,fa4a2b13-0665-d00b-cf26-70fa97bf16b4,video,SR-NA_02_0930,Onbekend,description,person,person,Directeur Kries Kalipdewsingh,directeur kries kalipdewsingh,Directeur Kries Kalipdewsingh,heuristic-capitalized-sequence,,2,Programma over subsidie artikelen,"economische maatregelen van de regering Venetiaan-Ajodhia: Directeur Kries Kalipdewsingh van Combé markt en Melkcentrale-directeur Henk Abrahams babyvoeding, Nutrilon, Lactogen, importeur Autar, HEM Suriname,",false,needs-review
021bffb7-90fe-1643-f611-93c10557a95a::fa4a2b13-0665-d00b-cf26-70fa97bf16b4,021bffb7-90fe-1643-f611-93c10557a95a,fa4a2b13-0665-d00b-cf26-70fa97bf16b4,video,SR-NA_02_0930,Onbekend,description,person,person,Henk Abrahams,henk abrahams,Henk Abrahams,heuristic-capitalized-sequence,,2,Programma over subsidie artikelen,"ies Kalipdewsingh van Combé markt en Melkcentrale-directeur Henk Abrahams babyvoeding, Nutrilon, Lactogen, importeur Autar, HEM Suriname, Melkcentrale, melk, brood, busvervoer",false,needs-review
023dbc6e-98f0-89d9-8fde-f5ea83a4369c::8c1a0741-6163-a207-6f78-94a3b2274194,023dbc6e-98f0-89d9-8fde-f5ea83a4369c,8c1a0741-6163-a207-6f78-94a3b2274194,video,SR-NA_02_0020,Onbekend,description,person,person,Ronald Assen,ronald assen,Ronald Assen,heuristic-capitalized-sequence,,2,DNA-vergadering met minister Ronald Assen,DNA-vergadering met minister Ronald Assen Minister Buza ad Interim Ronald Assen praat over een leningovereenkomst met China. Reacties van Arnold kruisland van de,false,needs-review
023dbc6e-98f0-89d9-8fde-f5ea83a4369c::8c1a0741-6163-a207-6f78-94a3b2274194,023dbc6e-98f0-89d9-8fde-f5ea83a4369c,8c1a0741-6163-a207-6f78-94a3b2274194,video,SR-NA_02_0020,Onbekend,description,person,person,Minister Buza,minister buza,Minister Buza,heuristic-capitalized-sequence,,2,DNA-vergadering met minister Ronald Assen,DNA-vergadering met minister Ronald Assen Minister Buza ad Interim Ronald Assen praat over een leningovereenkomst met China. Reacties van Arnold kruisland van de NF Fractie ov,false,needs-review
023dbc6e-98f0-89d9-8fde-f5ea83a4369c::8c1a0741-6163-a207-6f78-94a3b2274194,023dbc6e-98f0-89d9-8fde-f5ea83a4369c,8c1a0741-6163-a207-6f78-94a3b2274194,video,SR-NA_02_0020,Onbekend,description,person,person,Interim Ronald Assen,interim ronald assen,Interim Ronald Assen,heuristic-capitalized-sequence,,2,DNA-vergadering met minister Ronald Assen,DNA-vergadering met minister Ronald Assen Minister Buza ad Interim Ronald Assen praat over een leningovereenkomst met China. Reacties van Arnold kruisland van de NF Fractie over daggelden. Ronald Ven,false,needs-review
023dbc6e-98f0-89d9-8fde-f5ea83a4369c::8c1a0741-6163-a207-6f78-94a3b2274194,023dbc6e-98f0-89d9-8fde-f5ea83a4369c,8c1a0741-6163-a207-6f78-94a3b2274194,video,SR-NA_02_0020,Onbekend,description,person,person,Ronald Venetiaan,ronald venetiaan,Ronald Venetiaan,heuristic-capitalized-sequence,,2,DNA-vergadering met minister Ronald Assen,"ties van Arnold kruisland van de NF Fractie over daggelden. Ronald Venetiaan, President van de Republiek Suriname reageert. Otmar Rodgers Nieuw Front-fractieleider. Jiwan Sital van de Politieke Vl",false,needs-review
023dbc6e-98f0-89d9-8fde-f5ea83a4369c::8c1a0741-6163-a207-6f78-94a3b2274194,023dbc6e-98f0-89d9-8fde-f5ea83a4369c,8c1a0741-6163-a207-6f78-94a3b2274194,video,SR-NA_02_0020,Onbekend,description,person,person,Republiek Suriname,republiek suriname,Republiek Suriname,heuristic-capitalized-sequence,,2,DNA-vergadering met minister Ronald Assen,"Fractie over daggelden. Ronald Venetiaan, President van de Republiek Suriname reageert. Otmar Rodgers Nieuw Front-fractieleider. Jiwan Sital van de Politieke Vleugel van de FAL, PVF en Ramdien Sard",false,needs-review
023dbc6e-98f0-89d9-8fde-f5ea83a4369c::8c1a0741-6163-a207-6f78-94a3b2274194,023dbc6e-98f0-89d9-8fde-f5ea83a4369c,8c1a0741-6163-a207-6f78-94a3b2274194,video,SR-NA_02_0020,Onbekend,description,person,person,Otmar Rodgers Nieuw Front,otmar rodgers nieuw front,Otmar Rodgers Nieuw Front,heuristic-capitalized-sequence,,2,DNA-vergadering met minister Ronald Assen,"ld Venetiaan, President van de Republiek Suriname reageert. Otmar Rodgers Nieuw Front-fractieleider. Jiwan Sital van de Politieke Vleugel van de FAL, PVF en Ramdien Sardjoe, voorzitter DNA",false,needs-review
